City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Katsuura,JP,75.22,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
2,Sarh,TD,80.51,thunderstorm,9.1429,18.3923,Domicile 1sur le goudron
4,North Platte,US,78.98,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
6,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Hermanus,ZA,74.8,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
8,Lagoa,PT,70.3,clear sky,39.05,-27.9833,Casa Das Faias
12,Butaritari,KI,77.92,moderate rain,3.0707,172.7902,Isles Sunset Lodge
13,Ponta Do Sol,PT,77.0,few clouds,32.6667,-17.1,Hotel do Campo
14,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Atuona,PF,76.82,light rain,-9.8,-139.0333,Villa Enata
17,Naregal,IN,74.43,overcast clouds,15.5833,75.8167,Jai Hanuman Hotel
20,Banda Aceh,ID,80.44,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
24,Rikitea,PF,72.05,light rain,-23.1203,-134.9692,People ThankYou
29,Hilo,US,78.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
32,Xichang,CN,73.67,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
33,Caravelas,BR,79.57,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
35,Avarua,CK,71.65,scattered clouds,-21.2078,-159.775,Paradise Inn
39,Bredasdorp,ZA,70.05,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
42,Cape Town,ZA,81.01,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
44,Tchaourou,BJ,78.04,light rain,8.8865,2.5975,SAFIR HOTEL
46,Am Timan,TD,74.17,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
48,Bethel,US,76.77,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
50,Jamestown,US,73.94,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
51,Surami,GE,71.35,few clouds,42.0243,43.5556,Surami Treehouse
52,Zhangjiakou,CN,76.23,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
54,Kismayo,SO,76.1,light rain,-0.3582,42.5454,Agan-Hotel
55,Vezirkopru,TR,81.09,broken clouds,41.1436,35.4547,Vezirkopru Ogretmenevi
57,Douglas,US,78.51,haze,41.3,-96.167,Hilton Garden Inn Omaha West
58,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
