City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Katsuura,35.1333,140.3,75.22,97,100,12.93,JP,2022-07-16 14:49:22,light rain
1,Busselton,-33.65,115.3333,56.93,75,81,5.48,AU,2022-07-16 14:45:52,broken clouds
2,Sarh,9.1429,18.3923,80.51,78,40,6.91,TD,2022-07-16 14:49:22,thunderstorm
3,Punta Arenas,-53.15,-70.9167,30.11,100,100,9.06,CL,2022-07-16 14:49:23,overcast clouds
4,North Platte,41.1239,-100.7654,78.98,66,0,3.0,US,2022-07-16 14:47:43,clear sky
5,Mataura,-46.1927,168.8643,42.48,86,37,4.12,NZ,2022-07-16 14:49:23,scattered clouds
6,Puerto Ayora,-0.7393,-90.3518,70.56,93,89,8.01,EC,2022-07-16 14:49:23,overcast clouds
7,Hermanus,-34.4187,19.2345,74.8,52,16,3.0,ZA,2022-07-16 14:49:24,few clouds
8,Lagoa,39.05,-27.9833,70.3,88,0,9.73,PT,2022-07-16 14:49:24,clear sky
9,Tabas,33.5959,56.9244,100.56,5,0,13.04,IR,2022-07-16 14:49:24,clear sky
10,Tuktoyaktuk,69.4541,-133.0374,51.8,71,75,12.66,CA,2022-07-16 14:49:25,broken clouds
11,Comodoro Rivadavia,-45.8667,-67.5,35.46,69,0,3.44,AR,2022-07-16 14:48:13,clear sky
12,Butaritari,3.0707,172.7902,77.92,88,100,12.37,KI,2022-07-16 14:49:25,moderate rain
13,Ponta Do Sol,32.6667,-17.1,77.0,76,11,8.3,PT,2022-07-16 14:49:26,few clouds
14,Mahebourg,-20.4081,57.7,71.89,68,40,11.5,MU,2022-07-16 14:49:26,scattered clouds
15,Atuona,-9.8,-139.0333,76.82,76,8,12.91,PF,2022-07-16 14:49:26,light rain
16,Yellowknife,62.456,-114.3525,63.12,77,20,3.44,CA,2022-07-16 14:49:27,few clouds
17,Naregal,15.5833,75.8167,74.43,82,93,18.63,IN,2022-07-16 14:49:27,overcast clouds
18,Cherskiy,68.75,161.3,36.16,91,10,9.19,RU,2022-07-16 14:49:27,clear sky
19,Saint-Augustin,51.226,-58.6502,67.15,50,48,9.55,CA,2022-07-16 14:49:28,scattered clouds
20,Banda Aceh,5.5577,95.3222,80.44,82,84,11.61,ID,2022-07-16 14:49:28,broken clouds
21,Edgewater,28.9889,-80.9023,87.89,72,99,7.36,US,2022-07-16 14:49:28,overcast clouds
22,Chokurdakh,70.6333,147.9167,44.42,78,65,8.21,RU,2022-07-16 14:49:29,broken clouds
23,Valparaiso,-33.0393,-71.6273,50.23,82,0,6.91,CL,2022-07-16 14:48:59,clear sky
24,Rikitea,-23.1203,-134.9692,72.05,79,100,19.55,PF,2022-07-16 14:49:29,light rain
25,Lanzhou,36.0564,103.7922,69.39,43,100,2.19,CN,2022-07-16 14:49:29,overcast clouds
26,Port Lincoln,-34.7333,135.8667,56.28,84,18,15.52,AU,2022-07-16 14:45:15,few clouds
27,Qaanaaq,77.484,-69.3632,54.12,54,12,3.65,GL,2022-07-16 14:49:30,few clouds
28,Port Alfred,-33.5906,26.891,68.18,70,64,3.0,ZA,2022-07-16 14:49:30,broken clouds
29,Hilo,19.7297,-155.09,78.28,100,100,1.99,US,2022-07-16 14:49:30,moderate rain
30,Arlit,18.7369,7.3853,90.01,41,22,27.92,NE,2022-07-16 14:49:31,light rain
31,Haines Junction,60.7522,-137.5108,39.15,93,100,0.0,CA,2022-07-16 14:49:31,overcast clouds
32,Xichang,27.8964,102.2634,73.67,80,100,1.9,CN,2022-07-16 14:49:31,overcast clouds
33,Caravelas,-17.7125,-39.2481,79.57,54,98,7.25,BR,2022-07-16 14:49:32,overcast clouds
34,Albany,42.6001,-73.9662,79.43,65,100,1.99,US,2022-07-16 14:45:59,overcast clouds
35,Avarua,-21.2078,-159.775,71.65,83,40,12.66,CK,2022-07-16 14:49:32,scattered clouds
36,Norman Wells,65.282,-126.8329,55.44,76,20,12.66,CA,2022-07-16 14:49:32,few clouds
37,Coquimbo,-29.9533,-71.3436,49.73,66,0,13.8,CL,2022-07-16 14:49:33,clear sky
38,Luderitz,-26.6481,15.1594,73.76,35,0,5.37,NA,2022-07-16 14:49:33,clear sky
39,Bredasdorp,-34.5322,20.0403,70.05,50,29,2.35,ZA,2022-07-16 14:49:33,scattered clouds
40,Barrow,71.2906,-156.7887,33.82,93,100,0.0,US,2022-07-16 14:49:34,overcast clouds
41,Upernavik,72.7868,-56.1549,48.43,58,74,4.7,GL,2022-07-16 14:49:34,broken clouds
42,Cape Town,-33.9258,18.4232,81.01,44,0,10.36,ZA,2022-07-16 14:49:34,clear sky
