City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Castro,BR,2022-07-14 20:17:57,-24.7911,-50.0119,67.78,63,43,6.13
1,Shakawe,BW,2022-07-14 20:17:57,-18.3667,21.85,57.02,37,0,5.59
2,College,US,2022-07-14 20:17:58,64.8569,-147.8028,65.59,39,75,9.22
3,Bluff,NZ,2022-07-14 20:17:58,-46.6,168.3333,37.8,87,100,14.5
4,Tucurui,BR,2022-07-14 20:17:58,-3.7661,-49.6725,85.53,64,78,0.72
5,Nanortalik,GL,2022-07-14 20:17:59,60.1432,-45.2371,47.88,75,100,5.39
6,Mamakan,RU,2022-07-14 20:17:59,57.8161,114.0028,60.98,94,42,2.28
7,Ushuaia,AR,2022-07-14 20:17:59,-54.8,-68.3,33.42,80,0,2.3
8,Rikitea,PF,2022-07-14 20:17:59,-23.1203,-134.9692,66.4,82,100,11.18
9,Iqaluit,CA,2022-07-14 20:18:00,63.7506,-68.5145,49.73,76,75,8.05
10,Saint-Philippe,RE,2022-07-14 20:18:00,-21.3585,55.7679,66.22,81,79,9.48
11,Revelstoke,CA,2022-07-14 20:16:42,50.9832,-118.2023,69.82,52,75,10.36
12,Aklavik,CA,2022-07-14 20:18:00,68.2191,-135.0107,42.8,75,100,13.8
13,Barrow,US,2022-07-14 20:16:00,71.2906,-156.7887,33.82,80,100,11.5
14,Georgetown,MY,2022-07-14 20:15:12,5.4112,100.3354,80.53,88,20,0.0
15,Provideniya,RU,2022-07-14 20:18:01,64.3833,-173.3,53.64,57,100,6.35
16,Punta Arenas,CL,2022-07-14 20:17:39,-53.15,-70.9167,35.62,93,75,2.3
17,Samdrup Jongkhar,BT,2022-07-14 20:18:01,26.9167,91.6167,72.9,81,0,5.12
18,Bereslavka,RU,2022-07-14 20:18:02,48.6254,44.0449,68.77,43,0,14.5
19,Vila Velha,BR,2022-07-14 20:18:02,-20.3297,-40.2925,69.94,93,100,3.44
20,Khatanga,RU,2022-07-14 20:18:02,71.9667,102.5,43.03,89,100,2.73
21,Airai,TL,2022-07-14 20:18:03,-8.9266,125.4092,53.35,87,10,3.53
22,Hithadhoo,MV,2022-07-14 20:18:03,-0.6,73.0833,83.44,74,100,13.87
23,Butaritari,KI,2022-07-14 20:18:03,3.0707,172.7902,81.81,80,50,17.54
24,Chuy,UY,2022-07-14 20:14:31,-33.6971,-53.4616,57.18,93,59,8.77
25,Busselton,AU,2022-07-14 20:18:04,-33.65,115.3333,59.5,74,78,15.08
26,Swellendam,ZA,2022-07-14 20:18:04,-34.0226,20.4417,55.29,84,100,3.56
27,Acapulco,MX,2022-07-14 20:18:05,16.8634,-99.8901,87.62,66,40,3.44
28,Kenai,US,2022-07-14 20:18:05,60.5544,-151.2583,61.03,89,100,0.0
29,Upernavik,GL,2022-07-14 20:18:05,72.7868,-56.1549,40.03,87,16,14.12
30,Kalmunai,LK,2022-07-14 20:18:06,7.4167,81.8167,80.06,64,78,4.36
31,Belaya Gora,RU,2022-07-14 20:18:06,68.5333,146.4167,57.58,64,9,3.53
32,Jamestown,US,2022-07-14 20:18:06,42.097,-79.2353,78.53,49,0,6.91
33,Port-Cartier,CA,2022-07-14 20:18:07,50.0334,-66.8654,70.02,56,99,7.43
34,Tiksi,RU,2022-07-14 20:18:07,71.6872,128.8694,49.98,82,100,4.09
35,Albany,US,2022-07-14 20:13:47,42.6001,-73.9662,83.05,46,57,1.99
36,Lagoa,PT,2022-07-14 20:18:07,39.05,-27.9833,69.84,90,35,15.12
37,Hasaki,JP,2022-07-14 20:13:11,35.7333,140.8333,73.29,92,100,8.12
38,Beringovskiy,RU,2022-07-14 20:18:08,63.05,179.3167,46.67,98,100,10.47
39,Anadyr,RU,2022-07-14 20:17:27,64.75,177.4833,55.9,87,40,2.24
40,Gizo,SB,2022-07-14 20:18:08,-8.103,156.8419,80.91,74,27,7.81
41,Santiago De Cuba,CU,2022-07-14 20:18:08,20.0247,-75.8219,87.91,66,40,8.05
42,Ponta Do Sol,PT,2022-07-14 20:18:09,32.6667,-17.1,75.0,72,35,7.2
43,Port Alfred,ZA,2022-07-14 20:18:09,-33.5906,26.891,57.94,80,12,14.7
44,Faanui,PF,2022-07-14 20:18:09,-16.4833,-151.75,77.27,68,100,25.99
45,Saulkrasti,LV,2022-07-14 20:18:10,57.2622,24.4147,55.9,82,100,10.76
46,Hami,CN,2022-07-14 20:18:10,42.8,93.45,76.59,22,8,6.31
47,Port Hardy,CA,2022-07-14 20:17:07,50.6996,-127.4199,59.18,88,100,3.44
48,Mugur-Aksy,RU,2022-07-14 20:18:10,50.35,90.5,34.36,93,54,5.84
49,Seaham,GB,2022-07-14 20:18:11,54.839,-1.3458,62.31,76,58,1.01
50,Hilo,US,2022-07-14 20:15:20,19.7297,-155.09,85.28,73,75,6.91
51,Los Llanos De Aridane,ES,2022-07-14 20:18:11,28.6585,-17.9182,69.55,87,0,12.66
52,Nykoping,SE,2022-07-14 20:18:12,58.753,17.0079,55.26,94,0,3.44
53,Asau,RO,2022-07-14 20:17:30,46.4333,26.4,72.52,67,98,5.26
54,Harper,LR,2022-07-14 20:18:12,4.375,-7.7169,75.56,80,94,9.06
55,Eureka,US,2022-07-14 20:13:19,40.8021,-124.1637,76.68,79,67,4.0
56,Marawi,PH,2022-07-14 20:18:13,7.9986,124.2928,68.27,95,98,1.7
57,Masvingo,ZW,2022-07-14 20:18:13,-20.0637,30.8277,57.13,44,5,4.12
58,Kapaa,US,2022-07-14 20:18:13,22.0752,-159.319,82.72,77,75,16.11
59,Novobirilyussy,RU,2022-07-14 20:18:13,56.9514,90.6661,52.21,74,100,3.18
60,Kodiak,US,2022-07-14 20:14:11,57.79,-152.4072,58.51,77,100,3.44
61,Candolim,IN,2022-07-14 20:18:14,15.5181,73.7626,81.64,82,100,24.83
62,Codrington,AU,2022-07-14 20:18:14,-38.2667,141.9667,43.12,98,41,9.19
63,New Norfolk,AU,2022-07-14 20:18:14,-42.7826,147.0587,43.72,90,85,2.21
64,Pevek,RU,2022-07-14 20:15:58,69.7008,170.3133,34.32,84,5,12.41
65,Khani,GE,2022-07-14 20:18:15,41.9563,42.9566,58.57,97,86,1.16
66,Constitucion,CL,2022-07-14 20:18:15,-35.3333,-72.4167,47.34,89,100,8.61
67,Tarbert,GB,2022-07-14 20:18:15,55.8628,-5.4162,57.51,88,100,5.39
68,Kruisfontein,ZA,2022-07-14 20:18:16,-34.0033,24.7314,52.65,88,29,6.6
69,Deputatskiy,RU,2022-07-14 20:18:16,69.3,139.9,52.66,72,54,3.11
70,East London,ZA,2022-07-14 20:18:17,-33.0153,27.9116,60.13,68,1,13.53
71,South Venice,US,2022-07-14 20:18:17,27.0531,-82.4243,96.28,72,69,1.01
72,Lebu,CL,2022-07-14 20:17:44,-37.6167,-73.65,44.02,84,100,5.61
73,Narrabri,AU,2022-07-14 20:18:17,-30.3167,149.7833,39.52,91,0,1.99
74,Torquay,GB,2022-07-14 20:18:18,50.4638,-3.5143,65.68,63,5,4.0
75,Shebunino,RU,2022-07-14 20:18:18,46.4339,141.8603,59.38,92,100,15.59
76,Meadow Lake,US,2022-07-14 20:18:18,34.8014,-106.5436,94.6,26,7,10.85
77,Qaanaaq,GL,2022-07-14 20:18:18,77.484,-69.3632,45.32,82,26,8.21
78,Launceston,AU,2022-07-14 20:18:19,-41.45,147.1667,46.04,97,100,8.05
79,Novyy Urengoy,RU,2022-07-14 20:18:19,66.0833,76.6333,55.02,62,12,6.55
80,Puerto Ayora,EC,2022-07-14 20:18:20,-0.7393,-90.3518,76.96,88,68,10.0
81,Jaru,BR,2022-07-14 20:18:20,-10.4389,-62.4664,95.25,25,5,3.8
82,Nikolskoye,RU,2022-07-14 20:18:20,59.7035,30.7861,60.69,96,98,4.12
83,Avarua,CK,2022-07-14 20:18:21,-21.2078,-159.775,75.25,64,75,12.66
84,Smithers,CA,2022-07-14 20:15:10,54.7804,-127.1743,60.73,60,99,3.44
85,Klaksvik,FO,2022-07-14 20:18:21,62.2266,-6.589,50.92,78,83,13.0
86,Fortuna,US,2022-07-14 20:13:49,40.5982,-124.1573,61.86,85,75,1.99
87,Laguna,US,2022-07-14 20:15:42,38.421,-121.4238,97.63,38,0,4.61
88,La Ronge,CA,2022-07-14 20:15:13,55.1001,-105.2842,77.25,25,11,8.05
89,Atar,MR,2022-07-14 20:17:02,20.5169,-13.0499,96.91,26,97,1.21
90,Charlestown,AU,2022-07-14 20:18:22,-32.95,151.6667,50.74,79,4,5.99
91,Severo-Kurilsk,RU,2022-07-14 20:18:22,50.6789,156.125,53.67,96,84,9.71
92,Krasnovishersk,RU,2022-07-14 20:18:23,60.4078,57.082,65.26,98,100,4.23
93,Hovd,MN,2022-07-14 20:18:23,48.0056,91.6419,54.61,53,77,3.87
94,Juneau,US,2022-07-14 20:18:23,58.3019,-134.4197,64.4,81,75,10.36
95,Luderitz,NA,2022-07-14 20:18:23,-26.6481,15.1594,64.9,41,0,10.07
